zpid,description_length,waterfront_linear_ft,dock_linear_ft,no_fixed_bridges,waterfront_type,any_length
161771134,,,,FALSE,ocean,
161771163,,,,FALSE,intracoastal,
162027810,no fixed bridges,,,TRUE,bay; ocean; canal; waterfront,
201623352,Dock Length: 100,,100,FALSE,waterfront,100
201623445,Enjoy 30 feet of seawall,30,30,FALSE,canal; waterfront,30
201625911,the private 60' dock with a,,60,FALSE,ocean; canal; gulf; waterfront,60
201626087,A brand-new 30' dock,,30,FALSE,canal; waterfront,30
201626962,,,,FALSE,canal; waterfront,
201627075,Dock Length: 50,,50,FALSE,canal; waterfront,50
201627390,,,,FALSE,canal; waterfront,
201632263,Dock Length: 467,,467,FALSE,ocean; canal; gulf; waterfront,467
201632966,Dock Length: 142,,142,FALSE,bay; waterfront,142
201635193,Dock Length: 65,,65,FALSE,canal; waterfront,65
201635229,With roughly 120 feet of water,,,FALSE,ocean; canal; waterfront,
201637031,Dock Length: 450,,450,FALSE,bay; ocean; lake; waterfront,450
201645551,x 40' dock features polyurethane,,40,FALSE,canal; waterfront,40
201646321,,,,FALSE,ocean; waterfront,
201648049,,,,FALSE,bay; gulf; waterfront,
201650628,,,,FALSE,ocean; canal; gulf; waterfront,
201650644,Dock Length: 820,,820,FALSE,canal; waterfront,820
201651017,,,,FALSE,canal; waterfront,
201651075,Dock Length: 40,,40,FALSE,ocean; canal; gulf; waterfront,40
201651256,Dock Length: 75,,75,FALSE,ocean; canal; waterfront,75
201652424,,,,FALSE,ocean,
201653796,,,,FALSE,bay; sound; waterfront,
201654116,Dock Length: 70,,70,FALSE,canal; waterfront,70
201654492,174 FT DOCK,,174,FALSE,bay; ocean; canal; waterfront,174
2053585131,,,,FALSE,,
2053643259,,,,FALSE,ocean,
2053895608,Dock Length: 50,,50,FALSE,canal; waterfront,50
2054105369,,,,FALSE,,
2054124979,,,,FALSE,intracoastal; ocean,
2054125146,,,,FALSE,ocean,
2054128263,10',,,FALSE,sound,
2054423233,,,,FALSE,ocean,
2054536401,,,,FALSE,,
2054754852,,,,FALSE,lake,
2055057978,,,,FALSE,waterfront,
2055097647,,,,FALSE,gulf; waterfront,
2055817788,,,,FALSE,ocean; canal; waterfront,
2056041035,,,,FALSE,,
2059036236,,,,FALSE,lake,
2060323953,,,,FALSE,ocean,
2060679436,,,,FALSE,ocean; waterfront,
2060711742,,,,FALSE,bay; ocean; waterfront,
2060783986,,,,FALSE,ocean,
2061501231,Dock Length: 76,,76,FALSE,waterfront,76
2061668121,,,,FALSE,bay; gulf; waterfront,
2061725835,,,,FALSE,bay; ocean; waterfront,
2062365750,,,,FALSE,,
2062460010,Dock Length: 50,,50,FALSE,ocean; waterfront,50
2062460805,providing approximately 740 feet of stunning,,,FALSE,bay; ocean; waterfront,
2062760128,Boasting over 200 feet of concrete,,,FALSE,ocean; canal; sound; waterfront,
2062775475,,,,FALSE,,
2063062409,,,,FALSE,intracoastal; ocean; waterfront,
2063461451,,,,FALSE,canal; waterfront,
2063522327,,,,FALSE,ocean,
2063580324,,,,FALSE,river,
2063622469,,,,FALSE,ocean,
2063625343,,,,FALSE,ocean,
2064368805,,,,FALSE,,
2064459463,,,,FALSE,river,
2065475875,,,,FALSE,intracoastal; ocean,
2066585153,plan has 10’,,,TRUE,bay; ocean; canal; waterfront,
2066786425,Boasting 95 feet of prime,,,TRUE,ocean; waterfront,
2067061382,80 Feet,,,TRUE,ocean; canal; waterfront,
2067091797,,,,FALSE,intracoastal; ocean; waterfront,
2067416626,plan has 10’,,,FALSE,bay; ocean; canal; waterfront,
2067576723,,,,FALSE,bay; ocean,
2067846987,,,,FALSE,,
2068359840,Brand New 90Ft Seawall with,90,92,FALSE,bay; ocean; canal; waterfront,92
2068439115,,,,FALSE,ocean; sound,
2068724327,,,,FALSE,ocean; canal,
2069505302,,,,FALSE,ocean,
2069542695,,,,FALSE,bay; waterfront,
2069882511,peninsula with 50ft easement via,,,TRUE,bay; ocean; river; canal; waterfront,
2070154780,,,,FALSE,intracoastal; ocean,
2071593466,,,,FALSE,ocean,
2071724873,features 100ft dock,,100,FALSE,bay; ocean; waterfront,100
2072303377,,,,FALSE,intracoastal; ocean; waterfront,
2073923115,an astonishing 700 feet of direct,,,FALSE,waterfront,
2073932320,,,,FALSE,,
2074002728,,,,FALSE,ocean,
2074009844,,,,FALSE,ocean,
2074934511,,,,FALSE,ocean; waterfront,
2074935133,,,,FALSE,,
2074935169,,,,FALSE,ocean,
2074935351,,,,FALSE,ocean,
2075348777,offers over 90 feet of pristine,,,FALSE,bay; lagoon; waterfront,
2076186135,,,,FALSE,ocean; canal; waterfront,
2076541503,,,,FALSE,river,
2076543565,,,,FALSE,ocean,
2076646907,,,,FALSE,,
2076744034,,,,FALSE,,
2076997398,,,,FALSE,,
2077607409,,,,FALSE,ocean; gulf; waterfront,
2077631132,,,,FALSE,,
2077913116,,,,FALSE,,
2078199989,80 Feet,,,TRUE,ocean; canal,
2078391617,,,,FALSE,,
2078445107,,,,FALSE,ocean; river,
2079125603,and rare 12 ft,,,FALSE,ocean,
2079185296,,,,FALSE,canal; waterfront,
2079374397,,,,FALSE,ocean,
